brand,year,season,num,r,g,b,a
dsquared,2021,fall,28,238,201,166,254
dsquared,2021,fall,28,212,155,102,254
dsquared,2021,fall,28,224,178,144,253
dsquared,2021,fall,28,24,12,12,253
prada,2021,spring,36,203,145,107,253
prada,2021,spring,36,27,23,19,253
prada,2021,spring,36,212,170,150,253
prada,2021,spring,36,92,88,84,253
prada,2021,spring,26,233,232,232,254
prada,2021,spring,26,206,140,105,253
prada,2021,spring,26,87,46,17,250
prada,2021,spring,26,28,26,23,253
adam-lippes,2021,spring,2,158,111,82,252
adam-lippes,2021,spring,2,91,81,76,251
adam-lippes,2021,spring,2,219,174,144,252
adam-lippes,2021,spring,2,30,28,28,253
gucci,2021,spring,83,194,197,210,253
gucci,2021,spring,83,175,161,167,252
gucci,2021,spring,83,25,29,31,253
gucci,2021,spring,83,185,184,198,253
hermes,2021,spring,17,210,37,34,254
hermes,2021,spring,17,203,91,54,253
hermes,2021,spring,17,170,14,15,252
hermes,2021,spring,17,82,48,44,253
gucci,2021,spring,93,175,161,164,253
gucci,2021,spring,93,101,93,86,252
gucci,2021,spring,93,79,70,58,250
gucci,2021,spring,93,19,20,28,253
adam-lippes,2021,fall,17,233,227,224,253
adam-lippes,2021,fall,17,89,49,37,253
adam-lippes,2021,fall,17,159,104,85,253
adam-lippes,2021,fall,17,18,14,15,253
dsquared,2021,spring,12,216,199,181,253
dsquared,2021,spring,12,155,141,117,253
